AP,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5
AP24_1,-1.8557273,0.0,3.1675086,2.1826913,-0.6916469,0.0
AP24_10,0.5175631,0.0,0.33355138,-0.7522278,0.2704061,0.0
AP24_11,-0.011242005,0.0,-0.18330227,0.28362554,0.4464144,0.0
AP24_12,0.7147118,0.0,-0.36685133,-0.40694192,-0.4062453,0.0
AP24_13,-0.7655905,0.0,-0.35529134,-0.40694192,-1.093848,0.0
AP24_14,-1.6415989,0.0,-0.35529134,-0.40694192,-2.0770566,0.0
AP24_2,-0.77632403,0.0,0.50358665,-0.9248686,-1.3067125,0.0
AP24_3,-0.2518449,0.0,-0.8512682,0.024663277,-0.14314842,0.0
AP24_4,-0.020656895,0.0,-0.64269954,1.7510862,1.229632,0.0
AP24_5,0.62941384,0.0,0.69440824,-1.3564758,-0.014978742,0.0
AP24_6,-0.060044255,0.0,0.043140054,0.024663277,0.91014624,0.0
AP24_7,0.37391436,0.0,-0.7923646,0.024663277,1.014922,0.0
AP24_8,1.9843429,0.0,-0.9274123,1.0605166,1.5398016,0.0
AP24_9,1.1630828,0.0,-0.26771384,-1.0975115,0.32231405,0.0
