AP,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5
AP5_100,0.45043814,-0.2761314,-0.10403799,-1.6293734,-0.4860792,0.0
AP5_104,0.004134269,-0.2761314,0.03181488,0.4682106,0.2930988,0.0
AP5_108,-0.845285,-0.2761314,0.09380697,0.4682106,-0.29317924,0.0
AP5_112,-0.20366561,-0.2761314,-0.16294421,1.3671752,-0.39260656,0.0
AP5_116,1.2973362,0.6351023,0.7017467,1.3671752,-1.0567096,0.0
AP5_120,-2.4016721,-0.19329208,0.5724779,-1.2548052,-3.3658593,0.0
AP5_124,-0.2819813,-0.19329208,-1.1271448,0.43075398,-1.0306093,0.0
AP5_128,-0.006534753,-0.19329208,-0.35309327,0.73040885,-0.035324525,0.0
AP5_132,-0.018198986,-0.19329208,-0.12147873,-1.104977,-0.5420989,0.0
AP5_136,0.89139736,-0.19329208,0.38391542,0.4682106,0.7777312,0.0
AP5_140,2.1673784,-0.19329208,0.037986603,0.09364245,0.7997186,0.0
AP5_144,0.46658632,-0.19329208,-0.009987926,-0.20601241,0.72927916,0.0
AP5_149,0.2553585,-0.19329208,0.03659984,-0.43075398,0.57012564,0.0
AP5_153,0.8512609,-0.02761306,0.19322918,-0.43075398,0.4064527,0.0
AP5_157,-0.651114,-0.11045256,0.024068993,-0.35584065,0.1309013,0.0
AP5_161,-0.8865696,-0.11045256,0.024068993,-0.35584065,-0.39880037,0.0
AP5_36,-2.2075877,-0.5246497,3.534118,1.854115,0.052553367,0.0
AP5_40,-1.0341538,-0.5246497,-2.7723212,-0.6180389,-0.59436965,0.0
AP5_44,0.70066345,4.6942344,-0.68079424,0.16855575,0.43351844,0.0
AP5_48,-0.42643237,-0.2761314,-0.45988655,-0.5805806,0.37685737,0.0
AP5_52,0.47532943,-0.2761314,-0.6007742,0.1310991,1.0305817,0.0
AP5_56,0.9066314,-0.2761314,-0.033213094,2.1537697,2.32128,0.0
AP5_60,0.166125,-0.2761314,0.45798862,-1.6668301,0.041186012,0.0
AP5_64,0.33055586,-0.2761314,0.33385453,-1.0675204,0.23235227,0.0
